Borough,LEGGI_Year,Sector,Fuel,Data_Year,KtCO2e
Barking and Dagenham,2017,Domestic,Electricity,2017,72.53736757
Barnet,2017,Domestic,Electricity,2017,171.5542868
Bexley,2017,Domestic,Electricity,2017,103.10438
Brent,2017,Domestic,Electricity,2017,117.7367344
Bromley,2017,Domestic,Electricity,2017,151.7814693
Camden,2017,Domestic,Electricity,2017,96.64989102
City of London,2017,Domestic,Electricity,2017,7.817879152
Croydon,2017,Domestic,Electricity,2017,160.5550312
Ealing,2017,Domestic,Electricity,2017,130.1446729
Enfield,2017,Domestic,Electricity,2017,135.059424
Greenwich,2017,Domestic,Electricity,2017,103.1364599
Hackney,2017,Domestic,Electricity,2017,95.14447152
Hammersmith and Fulham,2017,Domestic,Electricity,2017,79.40864905
Haringey,2017,Domestic,Electricity,2017,99.45413158
Harrow,2017,Domestic,Electricity,2017,96.40305492
Havering,2017,Domestic,Electricity,2017,110.4584831
Hillingdon,2017,Domestic,Electricity,2017,117.8245479
Hounslow,2017,Domestic,Electricity,2017,106.053572
Islington,2017,Domestic,Electricity,2017,87.50306996
Kensington and Chelsea,2017,Domestic,Electricity,2017,102.7180615
Kingston,2017,Domestic,Electricity,2017,72.33121049
Lambeth,2017,Domestic,Electricity,2017,120.9784219
Lewisham,2017,Domestic,Electricity,2017,113.8392786
Merton,2017,Domestic,Electricity,2017,86.78908993
Newham,2017,Domestic,Electricity,2017,105.0285983
Redbridge,2017,Domestic,Electricity,2017,109.9482813
Richmond,2017,Domestic,Electricity,2017,93.94284405
Southwark,2017,Domestic,Electricity,2017,123.5682606
Sutton,2017,Domestic,Electricity,2017,89.44325922
Tower Hamlets,2017,Domestic,Electricity,2017,115.8432267
Waltham Forest,2017,Domestic,Electricity,2017,95.90497534
Wandsworth,2017,Domestic,Electricity,2017,138.1139667
Westminster,2017,Domestic,Electricity,2017,136.22905
Unapportioned,2017,Domestic,Electricity,2017,-
London,2017,Domestic,Electricity,2017,3547.006101
Barking and Dagenham,2017,Domestic,Gas,2017,144.8622418
Barnet,2017,Domestic,Gas,2017,415.4746032
Bexley,2017,Domestic,Gas,2017,236.435353
Brent,2017,Domestic,Gas,2017,290.9512722
Bromley,2017,Domestic,Gas,2017,389.6248238
Camden,2017,Domestic,Gas,2017,181.3373134
City of London,2017,Domestic,Gas,2017,5.215569676
Croydon,2017,Domestic,Gas,2017,390.8342375
Ealing,2017,Domestic,Gas,2017,318.2540336
Enfield,2017,Domestic,Gas,2017,298.510094
Greenwich,2017,Domestic,Gas,2017,217.6360217
Hackney,2017,Domestic,Gas,2017,186.139179
Hammersmith and Fulham,2017,Domestic,Gas,2017,168.7252559
Haringey,2017,Domestic,Gas,2017,241.0601607
Harrow,2017,Domestic,Gas,2017,271.14023
Havering,2017,Domestic,Gas,2017,258.1553331
Hillingdon,2017,Domestic,Gas,2017,275.0690873
Hounslow,2017,Domestic,Gas,2017,223.4337756
Islington,2017,Domestic,Gas,2017,172.3362712
Kensington and Chelsea,2017,Domestic,Gas,2017,165.6651364
Kingston,2017,Domestic,Gas,2017,170.5046958
Lambeth,2017,Domestic,Gas,2017,265.2685539
Lewisham,2017,Domestic,Gas,2017,254.4410048
Merton,2017,Domestic,Gas,2017,204.7862886
Newham,2017,Domestic,Gas,2017,208.0071721
Redbridge,2017,Domestic,Gas,2017,275.9554013
Richmond,2017,Domestic,Gas,2017,226.8656201
Southwark,2017,Domestic,Gas,2017,198.5472021
Sutton,2017,Domestic,Gas,2017,198.9931529
Tower Hamlets,2017,Domestic,Gas,2017,133.582857
Waltham Forest,2017,Domestic,Gas,2017,229.0085939
Wandsworth,2017,Domestic,Gas,2017,291.6013877
Westminster,2017,Domestic,Gas,2017,182.7351884
Unapportioned,2017,Domestic,Gas,2017,-
London,2017,Domestic,Gas,2017,7691.157112
Barking and Dagenham,2017,Domestic,Coal,2017,1.931094284
Barnet,2017,Domestic,Coal,2017,1.845297896
Bexley,2017,Domestic,Coal,2017,2.270269251
Brent,2017,Domestic,Coal,2017,1.332322336
Bromley,2017,Domestic,Coal,2017,2.446244499
Camden,2017,Domestic,Coal,2017,0.449380675
City of London,2017,Domestic,Coal,2017,0.001729696
Croydon,2017,Domestic,Coal,2017,3.071673265
Ealing,2017,Domestic,Coal,2017,2.08452526
Enfield,2017,Domestic,Coal,2017,2.500063558
Greenwich,2017,Domestic,Coal,2017,1.86725266
Hackney,2017,Domestic,Coal,2017,0.729922339
