objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,Adur,E07000223,Benzene annual mean Limit Value 2020,0.53,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{E71E2463-40EF-40EE-A2ED-4F80B4CD47A6},60515.7048534191,42065495.8655339
2,Allerdale,E07000026,Benzene annual mean Limit Value 2020,0.83,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{AC5AAEC1-338F-4928-87BA-A760A5A03CE0},326945.356862588,1258291719.61533
3,Amber Valley,E07000032,Benzene annual mean Limit Value 2020,0.39,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{E32BD280-CA89-4A53-A935-2997332AD058},109036.520389866,265437867.659006
4,Arun,E07000224,Benzene annual mean Limit Value 2020,0.51,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{8575ED27-250D-48D9-B629-C2E4D8462262},156498.064172033,220991201.464093
5,Ashfield,E07000170,Benzene annual mean Limit Value 2020,0.42,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{4B04CC09-8F42-41E8-84CE-9597CC508FD5},69174.8494196409,109557941.106055
6,Ashford,E07000105,Benzene annual mean Limit Value 2020,0.52,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{1413A647-FB5E-4806-9D82-1E0734389253},149446.491111581,580617312.655573
7,Aylesbury Vale,E07000004,Benzene annual mean Limit Value 2020,0.5,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9FFC4905-84EC-426A-924E-746693FFEFE5},243091.827325023,902753224.901714
8,Babergh,E07000200,Benzene annual mean Limit Value 2020,0.46,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{703306ED-5E86-4F49-8811-8888E70C47BA},210447.822242862,595116563.756272
9,Barnsley,E08000016,Benzene annual mean Limit Value 2020,0.68,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{90920948-4C39-42E2-9ECC-113BACAAB51A},126421.141800593,329077594.566186
10,Barrow-in-Furness,E07000027,Benzene annual mean Limit Value 2020,0.37,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B441F2D3-10A3-4226-8418-9B65E483A001},146480.186634252,77897001.8641374
11,Basildon,E07000066,Benzene annual mean Limit Value 2020,0.6,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{949F5E6F-62E8-4C50-8F5A-9E1B28FB55D8},85631.2104981443,110001023.654764
12,Basingstoke and Deane,E07000084,Benzene annual mean Limit Value 2020,0.51,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{827A6EA4-3529-42FF-B9E0-235E143D0EFD},143437.384228917,633817172.002662
13,Bassetlaw,E07000171,Benzene annual mean Limit Value 2020,0.36,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9F17ECD7-89EE-4E94-BE2C-B66DEA6805C6},159734.777561217,637803646.209099
14,Bath and North East Somerset,E06000022,Benzene annual mean Limit Value 2020,0.77,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{D3EA08DC-C149-4DEF-9F90-D8A78C844A16},141684.814205707,351123213.756385
15,Bedford,E06000055,Benzene annual mean Limit Value 2020,0.53,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{FE7A0D7D-E3A3-4A80-8217-39A62839D179},131721.268581354,476408299.162407
16,Birmingham,E08000025,Benzene annual mean Limit Value 2020,0.65,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B08D22E0-051D-4E84-844F-2AFDF0DB537D},106260.720206501,267791059.937127
17,Blaby,E07000129,Benzene annual mean Limit Value 2020,0.43,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B2A419DC-2864-4450-937D-C647F20FD7BD},100819.96689132,130468676.864844
18,Blackburn with Darwen,E06000008,Benzene annual mean Limit Value 2020,0.37,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{584E19A5-23ED-40E3-8220-7D4098E5B145},65284.9709825299,137022079.723958
19,Blackpool,E06000009,Benzene annual mean Limit Value 2020,0.34,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B38E709A-9F09-4702-BE98-88BD3442DA35},34483.4874941581,34870886.4556478
20,Bolsover,E07000033,Benzene annual mean Limit Value 2020,0.43,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9D087C1E-68DC-46A5-9C58-F3C467C8D069},96239.2025655061,160334649.782959
21,Bolton,E08000001,Benzene annual mean Limit Value 2020,0.53,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{88DEAEB5-9B73-4B23-9DFB-86BA7B72C81E},82647.1577312723,139792042.62735
22,Spelthorne,E07000213,Benzene annual mean Limit Value 2020,0.63,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{03FAAD92-47D5-4DF5-AAD0-D9552419A32D},44134.5375970837,51161362.5433989
23,Boston,E07000136,Benzene annual mean Limit Value 2020,0.49,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9920E3E4-6EF3-4306-8A17-BE90A1CF894C},156197.44730287,364889918.615237
24,Bracknell Forest,E06000036,Benzene annual mean Limit Value 2020,0.55,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{8B6FC3A1-CDE1-4DE5-80E5-5AD78EB55A0D},62508.0775037021,109384210.265679
25,Bradford,E08000032,Benzene annual mean Limit Value 2020,0.63,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{1DDF1977-AE4E-4D97-B186-E21F21D823E4},135920.613224069,366419741.977217
26,Braintree,E07000067,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{2A65F67D-B1A4-4773-AFFA-6AB08411055E},168686.435910163,611707973.504294
27,Breckland,E07000143,Benzene annual mean Limit Value 2020,0.4,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{3B480DFB-2E12-47C1-AE1F-0EBDFBBA8DC3},239527.75362879,1305116639.16987
