name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2013/1/24,2.8,0.5,2,2.6,-2.7,-0.3,-1.7,76.9,0.001,100,4.17,"rain,snow",,,,18.8,52.7,1016.5,76.6,15,49.6,4.3,2,,2013-01-24T07:49:52,2013-01-24T16:35:59,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/25,3.3,-1.3,1.4,1,-4,-1.6,-2,78.1,0.001,100,4.17,"rain,snow",,,48.2,22.7,152.4,1014.4,86.5,17.6,39.8,3.4,2,,2013-01-25T07:48:36,2013-01-25T16:37:43,0.49,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/26,7.8,2.2,5.3,5.2,-1.9,1.9,3.1,86.3,0.035,100,12.5,rain,,,63.4,26.9,211.8,1006.5,67.6,15.7,69.4,6.1,3,,2013-01-26T07:47:17,2013-01-26T16:39:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/27,10.3,5,8.2,10.3,1.8,4.9,4.2,76.8,1.55,100,12.5,rain,,,65.4,38.8,228.9,997.9,56,24,67,5.6,3,,2013-01-27T07:45:56,2013-01-27T16:41:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/28,10.8,3.1,6.8,10.8,-0.7,3.9,4.3,84.4,0.504,100,4.17,rain,,,72.3,39.8,217.5,1005.5,64.1,27.2,37,3.1,2,,2013-01-28T07:44:33,2013-01-28T16:43:02,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/29,13.6,9.8,12,13.6,7.5,11.8,10.1,88.4,0.515,100,8.33,rain,,,63.2,36.5,225.9,1003.3,87.2,19.4,26.7,2.3,2,,2013-01-29T07:43:08,2013-01-29T16:44:50,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/30,12.8,7.6,10.3,12.8,3.9,8.8,6.2,76.7,1.059,100,12.5,rain,,,70,41.2,248.9,1007.1,49.1,26.6,67,5.7,3,,2013-01-30T07:41:40,2013-01-30T16:46:38,0.56,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/1/31,10.1,7.3,9,10.1,3.4,6,4.7,74.9,0.009,100,8.33,rain,,,65.9,37.7,244.6,1012.6,55.8,22,63.6,5.4,3,,2013-01-31T07:40:10,2013-01-31T16:48:26,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/1,8.3,4.6,6.4,5.6,3.1,4.3,3.9,84.5,6.102,100,12.5,rain,,,53.6,22.7,266.7,1002.5,61,26.6,46.4,4.1,2,,2013-02-01T07:38:39,2013-02-01T16:50:15,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/2,5.8,2.1,4.5,2.9,-1.3,1,-0.7,69.3,0.001,100,4.17,rain,,,48.2,24.6,334.1,1015.8,54.9,40.5,72,6.3,3,,2013-02-02T07:37:05,2013-02-02T16:52:04,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
