objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,Allerdale,E07000026,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C6372143-CC86-4A23-8723-1CB9416A29CE},326945.356862588,1258291719.61533
2,Ashford,E07000105,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{168F3BF7-F9B5-44D4-A169-68E85F75BD61},149446.491111581,580617312.655573
3,Aylesbury Vale,E07000004,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{7F6AFC3A-78B9-4DBD-9A9F-2B361F23ACB5},243091.827325023,902753224.901714
4,Babergh,E07000200,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{D01D11ED-347F-48FE-A8BA-B2303F1FA0B5},210447.822242862,595116563.756272
5,Basingstoke and Deane,E07000084,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{957F823C-545C-45E7-B6A7-E043778E02F2},143437.384228917,633817172.002662
6,Bassetlaw,E07000171,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{38B626BC-FA2C-411F-8460-BE2EDAB35622},159734.777561217,637803646.209099
7,Bedford,E06000055,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{A57353F1-FA23-4489-A433-13F14722EEE6},131721.268581354,476408299.162407
8,Boston,E07000136,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{8960CA2E-DCC9-4EE0-BC2B-B4D64FE780F3},156197.44730287,364889918.615237
9,Braintree,E07000067,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{ADE4B1FC-B4F4-41CA-96B3-715C2D2225CD},168686.435910163,611707973.504294
10,Breckland,E07000143,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{425CA8C3-4967-4960-B104-E238A770AAB9},239527.75362879,1305116639.16987
11,Broadland,E07000144,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{F4E0A740-1150-4624-9897-50F1AA52046F},219128.240393652,552060636.330038
12,Canterbury,E07000106,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{60F84DD8-965C-4BD6-94E9-24B4D3CCED3F},134481.878863405,308752567.217783
13,Carlisle,E07000028,Nitrogen Oxides annual mean Critical Level 2020,3,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{8171267E-CAA0-4F80-AD0D-8A883BA6C5B8},278415.522865306,1038300028.98441
14,Chelmsford,E07000070,Nitrogen Oxides annual mean Critical Level 2020,13,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{6FE1A364-7F9D-4B3D-BB6A-EB3D5E6E0484},126395.550322855,342227520.457088
15,Cherwell,E07000177,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{8B43E83C-FAB6-4EC0-9E3D-C02F935BA744},225626.554294161,588741170.216276
16,Chichester,E07000225,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{9B91E52F-2ABC-4096-B81A-C2F3219F6743},297274.786304603,786194870.307895
17,York,E06000014,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{3D7370B9-23A8-423F-8FA9-60DDF796B2C0},101957.593922078,271936983.74298
18,Colchester,E07000071,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{34B64924-EB84-421E-BD42-E75F6DAA30E1},318168.31141223,332325214.702393
19,Copeland,E07000029,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{D1B1D843-3719-4CA0-A176-835F3D200E84},252311.6869998,737631222.408507
20,Cotswold,E07000079,Nitrogen Oxides annual mean Critical Level 2020,8,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{2BE56901-F33E-41D6-AD23-BDE995BD5AAC},332445.324069324,1164524415.18048
21,Craven,E07000163,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{4EA9B46D-3CBA-4884-9D0D-7BDE6DF7C090},199883.769775131,1178807442.49167
22,Daventry,E07000151,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{3D59C208-CF76-486B-9C8C-5BDEC8FFD00E},181982.944966609,665600468.851017
23,Derbyshire Dales,E07000035,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{0CDD49CA-26C5-45A3-B35A-80572649F12C},245475.846641527,795318063.283345
24,Doncaster,E08000017,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{F61C7629-FB69-4D6C-ABE0-6E855A50C6FF},171070.334828116,568022257.266172
25,Dover,E07000108,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{984E429B-540E-4507-B69B-DD03E5FF59A2},148160.889608644,315337967.02553
26,East Cambridgeshire,E07000009,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{7D77CFB5-EC7E-47A4-9309-F1A8CABFA219},234187.982641904,651286023.597182
27,East Devon,E07000040,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B4CBC710-37FF-41DC-A19C-06DFF577B462},219544.921202018,814227311.153461
28,East Hampshire,E07000085,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{E757E24B-AFC4-4BD6-A08E-6CA871164E84},144540.791479266,514432074.863371
29,East Hertfordshire,E07000242,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{ED09956A-A274-491D-B733-0BB3BAC5EECA},135188.279171723,475669101.994583
30,East Lindsey,E07000137,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C1B94C57-CED4-43BA-A1D2-DC557FE0973D},373207.484381739,1766773253.8254
31,East Northamptonshire,E07000152,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{E8F15167-D7A6-416C-AF29-E504E899E491},163229.120046976,509787257.638368
32,East Riding of Yorkshire,E06000011,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B08804E6-29B0-42AD-83D6-C9DBA9D8EAA4},504148.429232311,2404995299.25661
33,East Staffordshire,E07000193,Nitrogen Oxides annual mean Critical Level 2020,8,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{6434CDD3-34C2-4A72-8140-232D31332B8E},183696.396809301,389987162.124037
34,Eden,E07000030,Nitrogen Oxides annual mean Critical Level 2020,3,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{9D7363AB-11A6-419B-9861-3AB8F10ABEFB},268725.444007917,2156474495.37604
35,Fenland,E07000010,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{83F56503-61C2-43DD-9B6E-E61691106321},187882.168085419,546450057.397399
36,Forest of Dean,E07000080,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{9FC34CF7-15CD-46DC-99E7-514E5542F98F},190005.278190059,525899257.744365
37,Great Yarmouth,E07000145,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{28FB5AFD-BE04-4625-BA61-50DF8E585C58},145970.743262389,174330776.387391
38,Hambleton,E07000164,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{D10967A0-DFB0-4A3E-8F60-91430A43DC12},298519.898029624,1311228139.76122
