"Table 1.3: Estimated territorial emissions of carbon dioxide (CO2) by source category, by million tonnes carbon dioxide equivalent (MtCO2e),  UK 1990-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells in the table are blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are collapsible columns and rows in this sheet. To expand collapsed columns and rows, select a column or row that has a 'plus' sign above or next to it, then go to the 'data' tab and select 'outline', in the drop down menu select 'show detail'. Alternatively, click on the 'plus' sign or select a column or row and use [Alt A, J]. To collapse expanded columns and rows, select a column or row that has a dot and line in its margin, go to the 'data' tab and select 'outline', in the drop down menu select 'hide detail'. Alternatively, click on the 'minus' sign in the margin or select a column or row and use [Alt A, H].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographical coverage of table: United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC Sector,NC Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Energy supply,,243.7,240.4,229.6,214.1,210.7,209.6,211.0,198.7,204.6,193.8,205.1,216.2,212.8,220.1,218.4,218.9,224.1,219.2,212.9,189.9,197.1,182.7,193.0,181.2,156.8,137.4,115.0,104.6,97.5,89.3,78.2,
,Power stations,203.0,199.6,187.6,170.3,166.1,163.0,162.6,150.1,155.3,147.2,158.6,169.4,165.0,174.0,173.7,172.9,181.7,177.5,172.4,150.8,157.0,144.3,158.1,147.2,124.0,103.9,82.1,72.1,65.8,57.8,49.5,
,Refineries,17.8,18.6,19.0,19.9,19.4,20.2,20.6,20.5,20.0,18.1,17.3,17.1,19.2,18.6,18.3,19.9,18.0,17.8,17.3,16.3,17.0,17.4,15.8,14.7,13.5,13.5,13.6,13.6,13.0,12.6,11.1,
,Manufacture of solid fuels and other energy industries,16.0,15.9,16.6,17.3,17.7,18.0,18.9,20.7,21.7,22.2,22.5,23.1,22.2,21.6,20.4,19.8,18.8,18.1,18.0,17.6,18.0,16.2,14.9,14.7,14.5,15.1,14.7,14.5,14.1,14.6,14.1,
,Solid fuel transformation,1.7,1.3,1.1,1.0,0.8,0.7,0.6,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.1,0.3,0.4,0.5,0.3,0.4,0.3,0.2,0.2,
,"Exploration, production and transport of oils",0.4,0.4,0.4,0.4,0.4,0.9,1.3,0.5,0.6,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,
,Power station flue-gas desulphurisation,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.5,0.4,0.3,0.1,0.1,0.1,0.0,0.0,
,"Exploration, production and transport of gas",0.3,0.3,0.5,0.6,0.4,0.6,0.7,0.5,0.9,0.7,1.0,1.0,1.3,1.3,1.1,1.1,1.0,0.9,0.6,0.6,0.4,0.3,0.3,0.3,0.5,0.4,0.5,0.2,0.3,0.4,0.4,
,Upstream oil and gas - flaring,4.4,4.2,4.3,4.6,5.8,6.1,6.1,5.6,5.6,5.0,5.1,5.2,4.5,4.0,4.1,4.6,4.0,4.2,3.7,3.7,3.9,3.7,3.2,3.5,3.3,3.7,3.6,3.6,3.6,3.6,2.8,
,Upstream oil and gas - venting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,
