month,year,date,co2,pm25,Rural_Background_no2,Urban_Background_no2
1,2021,2021/1,,,5.743547704,15.84427912
2,2021,2021/2,,,5.743547704,15.84427912
3,2021,2021/3,,,5.743547704,15.84427912
4,2021,2021/4,,,5.743547704,15.84427912
5,2021,2021/5,,,5.743547704,15.84427912
6,2021,2021/6,,,5.743547704,15.84427912
7,2021,2021/7,,,5.743547704,15.84427912
8,2021,2021/8,,,5.743547704,15.84427912
9,2021,2021/9,,,5.743547704,15.84427912
10,2021,2021/10,,,5.743547704,15.84427912
11,2021,2021/11,,,5.743547704,15.84427912
12,2021,2021/12,,,5.743547704,15.84427912
1,2020,2020/1,28.13,14.6750458,5.526065486,15.06691545
2,2020,2020/2,28.13,14.6750458,5.526065486,15.06691545
3,2020,2020/3,28.13,14.6750458,5.526065486,15.06691545
4,2020,2020/4,28.13,14.6750458,5.526065486,15.06691545
5,2020,2020/5,28.13,14.6750458,5.526065486,15.06691545
6,2020,2020/6,28.13,14.6750458,5.526065486,15.06691545
7,2020,2020/7,28.13,14.6750458,5.526065486,15.06691545
8,2020,2020/8,28.13,14.6750458,5.526065486,15.06691545
9,2020,2020/9,28.13,14.6750458,5.526065486,15.06691545
10,2020,2020/10,28.13,14.6750458,5.526065486,15.06691545
11,2020,2020/11,28.13,14.6750458,5.526065486,15.06691545
12,2020,2020/12,28.13,14.6750458,5.526065486,15.06691545
1,2019,2019/1,31.38,15.8220564,7.184724211,19.56350789
2,2019,2019/2,31.38,15.8220564,7.184724211,19.56350789
3,2019,2019/3,31.38,15.8220564,7.184724211,19.56350789
4,2019,2019/4,31.38,15.8220564,7.184724211,19.56350789
5,2019,2019/5,31.38,15.8220564,7.184724211,19.56350789
6,2019,2019/6,31.38,15.8220564,7.184724211,19.56350789
7,2019,2019/7,31.38,15.8220564,7.184724211,19.56350789
8,2019,2019/8,31.38,15.8220564,7.184724211,19.56350789
9,2019,2019/9,31.38,15.8220564,7.184724211,19.56350789
10,2019,2019/10,31.38,15.8220564,7.184724211,19.56350789
11,2019,2019/11,31.38,15.8220564,7.184724211,19.56350789
12,2019,2019/12,31.38,15.8220564,7.184724211,19.56350789
1,2018,2018/1,31.02,16.3681292,7.157888036,20.00237934
2,2018,2018/2,31.02,16.3681292,7.157888036,20.00237934
