Borough,Domestic (CO2e) total,Industrial and Commercial (CO2e) total,Transport (CO2e or CO2) total,NRMM (CO2e) total,IPPU (CO2e),AFOLU (CO2e),Waste (CO2e),Fugitive emissions (CO2e),Grand Total
Barking and Dagenham,203.52 ,124.75 ,130.43 ,3.29 ,,,,,461.98 
Barnet,552.46 ,202.97 ,345.96 ,16.29 ,,,,,1117.69 
Bexley,316.06 ,215.33 ,191.54 ,7.35 ,,,,,730.28 
Brent,383.85 ,292.75 ,198.99 ,14.45 ,,,,,890.04 
Bromley,511.78 ,153.56 ,239.51 ,9.04 ,,,,,913.90 
Camden,253.92 ,503.76 ,141.72 ,35.39 ,,,,,934.79 
City of London,11.02 ,472.13 ,41.03 ,6.14 ,,,,,530.32 
Croydon,525.32 ,192.01 ,225.09 ,22.46 ,,,,,964.88 
Ealing,421.98 ,298.23 ,253.25 ,22.07 ,,,,,995.53 
Enfield,408.72 ,218.29 ,361.29 ,4.64 ,,,,,992.95 
Greenwich,300.45 ,188.37 ,210.20 ,8.46 ,,,,,707.47 
Hackney,261.73 ,174.33 ,102.23 ,15.38 ,,,,,553.67 
Hammersmith and Fulham,228.27 ,221.81 ,107.05 ,12.19 ,,,,,569.32 
Haringey,318.41 ,147.90 ,120.52 ,8.26 ,,,,,595.09 
Harrow,348.72 ,82.60 ,134.81 ,8.85 ,,,,,574.98 
Havering,348.06 ,127.62 ,380.27 ,6.33 ,,,,,862.29 
Hillingdon,374.96 ,446.36 ,670.06 ,31.99 ,,,,,1523.38 
Hounslow,309.15 ,278.74 ,295.37 ,11.72 ,,,,,894.97 
Islington,238.72 ,238.70 ,88.57 ,10.18 ,,,,,576.17 
Kensington and Chelsea,236.25 ,318.60 ,101.13 ,9.97 ,,,,,665.94 
Kingston,226.99 ,109.34 ,125.08 ,6.80 ,,,,,468.21 
Lambeth,360.77 ,239.09 ,151.14 ,16.61 ,,,,,767.61 
Lewisham,344.03 ,103.97 ,141.81 ,7.94 ,,,,,597.75 
Merton,273.97 ,142.52 ,127.63 ,9.75 ,,,,,553.87 
Newham,292.78 ,357.06 ,187.93 ,11.94 ,,,,,849.71 
Redbridge,364.82 ,102.71 ,214.93 ,6.67 ,,,,,689.13 
Richmond,300.59 ,107.67 ,140.64 ,7.23 ,,,,,556.13 
Southwark,296.19 ,323.82 ,144.83 ,16.83 ,,,,,781.68 
Sutton,268.45 ,131.71 ,95.04 ,5.79 ,,,,,500.98 
Tower Hamlets,227.35 ,584.07 ,163.18 ,22.45 ,,,,,997.05 
Waltham Forest,304.08 ,116.44 ,145.41 ,7.77 ,,,,,573.70 
Wandsworth,399.27 ,194.53 ,169.98 ,24.67 ,,,,,788.45 
Westminster,281.99 ,936.47 ,199.40 ,46.56 ,,,,,1464.42 
Unapportioned,,9.30 ,,,1684.61 ,119.16 ,483.35 ,193.34 ,2489.75 
,,,,,,,,,
,,,,,,,,,
