Country code,Country name,Region code,Region name,LAD code,LAD name,Google sub region 1,Google sub region 2,Average distance to nearest park or public garden or playing field (m),Median distance to nearest park or public garden or playing field (m),Average size of nearest park or public garden or playing field (m2),Median size of nearest park or public garden or playing field (m2),"Average number of parks or public gardens or playing fields within 1,000 m radius","Median number of parks or public gardens or playing fields within 1,000 m radius","Average combined size of parks or public gardens or playing fields within 1,000 m radius (m2)","Median combined size of parks or public gardens or playing fields within 1,000 m radius (m2)",Population ,Average population per park or public garden or playing field,Median population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,Average percent change in mobility to parks from baseline during lockdown period,Average percent change in mobility to parks from baseline during post-lockdown period
E92000001,England,E12000001,North East,E06000001,Hartlepool,Hartlepool,,463.28,399.5,59391.72,30151.04,3.06,3,163063.12,100197,93242,11380.66,10586.69,6427,4439.68,231.96,37126,36638,177.96,-49.78,
E92000001,England,E12000001,North East,E06000002,Middlesbrough,Middlesbrough,,403.64,312.68,80528.01,37992.58,3.84,4,294738.88,243477,140545,10454.14,9851.44,9625,6685.6,191.01,54102,53596,177.67,-26.58,15.82
E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,Redcar and Cleveland,,308.91,264.09,58861.79,23917.21,4,4,194967.15,157267,136718,5378.42,3465.94,7270,5589.45,188.35,55912,54529,194.63,-3.38,68.69
E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,Stockton-on-Tees,,471.9,363.42,126461.36,35889.87,3.27,3,447865.24,199415,197213,9935.13,5960.76,10226,6512.91,221.36,76822,75697,232.9,0.62,48.74
E92000001,England,E12000001,North East,E06000005,Darlington,Darlington,,429.08,322.67,51295.83,23992.39,3.42,3,173571.54,107507,106566,8918.42,6317.05,7636,5869.5,284.11,42042,41270,204.69,-25.09,-9.43
E92000001,England,E12000001,North East,E06000047,County Durham,County Durham,,402.66,317.05,43419.16,19181.1,3.12,3,137021.31,69440,520773,5137.73,2949.3,20602,12947.86,265.97,208264,203016,188.2,16.71,79.47
E92000001,England,E12000001,North East,E06000057,Northumberland,Northumberland,,583.84,358.37,66931.79,23012.51,3.1,3,224368.06,82210,306894,5562.47,3212.1,18887,13989.31,285.68,114369,110842,264.74,1.71,168.95
E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,Tyne and Wear,Newcastle upon Tyne District,259.14,229.71,85133.4,25335.82,8.12,8,755328.05,363961,300196,6947.31,4946.59,52239,34570.34,128.29,80383,79553,167.52,24.62,70.63
E92000001,England,E12000001,North East,E08000022,North Tyneside,Tyne and Wear,North Tyneside District,278.34,252.39,108384.61,23659.65,5.4,5,522539.33,239406,205985,6383.67,5050.94,24818,20352.82,155.96,74614,73559,171.59,3.24,45.47
E92000001,England,E12000001,North East,E08000023,South Tyneside,Tyne and Wear,South Tyneside,330.2,250.27,97837.81,23824.5,5.93,5,469771.42,368537,150265,7310.96,4691.87,16690,14798.52,114.59,55211,54600,167.57,39.93,97.65
