Location_name,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation
Birkenhead Urban Area,99200,36700,18100,5900,400,63500,23400,8100,700,0,2500,600,0,0,0,1200,100,0,0,0,1200,600,300,200,100,1100,500,300,200,100,324000
Blackpool Urban Area,25500,17300,12000,3000,0,18200,12900,3700,0,0,3800,2000,500,0,0,2900,900,200,0,0,1000,600,300,200,100,800,400,200,100,100,261000
Bournemouth Urban Area,53500,35000,23700,10600,200,36900,24700,11800,400,0,7100,4000,1400,0,0,5000,2400,100,0,0,500,300,100,0,0,500,300,100,0,0,432000
Brighton,78400,49700,37500,16300,300,52300,38800,18300,400,0,14800,8300,2200,0,0,10500,4800,300,0,0,700,300,100,0,0,500,200,100,0,0,518000
Worthing,78400,49700,37500,16300,300,52300,38800,18300,400,0,14800,8300,2200,0,0,10500,4800,300,0,0,700,300,100,0,0,500,200,100,0,0,518000
Littlehampton,78400,49700,37500,16300,300,52300,38800,18300,400,0,14800,8300,2200,0,0,10500,4800,300,0,0,700,300,100,0,0,500,200,100,0,0,518000
Bristol Urban Area,176500,79100,47200,24500,3400,115100,56700,29100,4900,400,9800,4200,1900,500,0,7300,3100,1300,200,0,400,300,200,100,100,400,300,200,100,100,639000
Coventry,86800,29200,12600,3600,200,50200,17500,4700,200,0,6800,3600,2000,600,0,4700,2700,1200,300,0,1900,500,200,0,0,800,400,100,0,0,378000
Bedworth,86800,29200,12600,3600,200,50200,17500,4700,200,0,6800,3600,2000,600,0,4700,2700,1200,300,0,1900,500,200,0,0,800,400,100,0,0,378000
Greater London Urban Area,2647600,1590400,1144300,662800,97800,1866800,1232900,724300,117100,1400,591200,346600,176400,68700,18800,436200,240900,107100,35100,7200,27500,14700,8400,4800,3200,23800,12800,7600,4200,2900,9878000
Manchester,873800,395400,218500,103100,11100,592000,272400,124600,17400,2600,54100,26300,10700,1800,0,37700,17200,5700,500,0,10600,4600,2200,1100,500,8600,3500,1900,800,400,2474000
Kingston upon Hull,19500,12200,8000,3200,100,13000,8500,3500,200,0,900,100,0,0,0,300,0,0,0,0,700,300,100,100,100,600,300,100,100,100,310000
Leicester Urban Area,110000,45200,25300,9500,1400,67400,29800,11200,1900,0,12800,7400,4100,1800,100,10800,6000,3100,1100,0,2400,1500,1200,700,400,2000,1300,1000,500,300,501000
Liverpool Urban Area,216300,97800,60800,28700,2400,130700,68500,32700,3400,0,15200,7700,2700,400,0,10900,4400,1300,100,0,4700,2700,1800,1100,700,4000,2200,1500,900,700,837000
Nottingham Urban Area,166200,73700,44300,22100,3200,103100,50600,25200,3700,0,13600,7200,2800,900,0,10200,4300,2100,300,0,2100,1200,800,200,200,1600,1100,800,200,200,730000
Portsmouth Urban Area,148400,61400,33800,14600,1200,94300,42700,18200,2300,100,9600,6200,2800,300,0,7500,4300,1200,0,0,300,0,0,0,0,200,0,0,0,0,479000
Preston Urban Area,105400,35100,14900,5800,400,63200,21400,7900,900,100,12100,7200,4300,2300,1200,9800,5900,3400,1800,800,1800,1100,600,200,100,1600,1000,500,200,100,275000
Reading,126600,53300,27100,10000,300,83900,34700,12400,600,0,13500,7200,2600,800,300,10200,4900,1400,600,200,800,300,100,0,0,400,100,0,0,0,393000
Wokingham,126600,53300,27100,10000,300,83900,34700,12400,600,0,13500,7200,2600,800,300,10200,4900,1400,600,200,800,300,100,0,0,400,100,0,0,0,393000
Sheffield Urban Area,147800,69600,41600,20100,1300,96400,47800,22600,1900,100,5300,2500,1100,400,0,3900,1800,900,100,0,2000,900,600,300,100,1100,700,500,200,100,694000
Southampton Urban Area,140600,55100,29300,12500,600,94100,37300,15700,1500,200,9700,5700,2500,500,0,7600,4200,1700,300,0,400,200,100,0,0,200,0,0,0,0,342000
Southend Urban Area,32200,21400,15900,6900,300,22500,16600,7700,400,0,9800,6600,2800,400,0,8000,4600,1300,0,0,600,200,0,0,0,600,200,0,0,0,294000
Teesside,41500,19100,8600,1700,0,21100,9600,1900,0,0,4300,2300,800,0,0,3300,1600,300,0,0,900,300,100,0,0,700,200,100,0,0,369000
The Potteries,68700,38000,23800,9200,400,43600,26300,10600,500,0,1000,300,100,0,0,300,100,0,0,0,1700,1000,700,400,200,1500,900,700,400,200,370000
Tyneside,175800,83800,49400,21200,2900,100500,54400,24300,3100,1600,15400,8600,4700,2500,100,11200,6200,3300,1800,0,1900,800,200,0,0,1600,500,200,0,0,909000
West Midlands Urban Area,756000,341000,175800,70700,5100,518800,229100,87900,8300,500,55700,30300,13400,3400,300,42200,21500,7400,1600,0,14500,7000,3300,1300,700,12200,5400,2600,1000,500,2508000
West Yorkshire Urban Area,418400,198100,110900,51300,7500,277800,132900,60700,9700,3200,24700,9700,3600,800,0,16200,5900,2100,200,0,11200,5700,3700,1800,900,9200,5000,3300,1600,800,1636000
Aldershot Urban Area,83700,37100,17400,5900,600,55600,23600,7900,1200,100,8900,3400,900,100,0,5600,1500,300,0,0,300,0,0,0,0,200,0,0,0,0,254000
