location_name,area long label,code,Persons per hectare
Adur,Adur (District),E07000223,15.26
Allerdale,Allerdale (District),E07000026,0.79
Amber Valley,Amber Valley (District),E07000032,4.85
Arun,Arun (District),E07000224,7.29
Ashfield,Ashfield (District),E07000170,11.71
Ashford,Ashford (District),E07000105,2.26
Babergh,Babergh (District),E07000200,1.56
Barking and Dagenham,Barking and Dagenham (London borough),E09000002,59.31
Barnet,Barnet (London borough),E09000003,45.99
Barnsley,Barnsley (Metropolitan borough),E08000016,7.54
Barrow-in-Furness,Barrow-in-Furness (District),E07000027,8.57
Basildon,Basildon (District),E07000066,17.05
Basingstoke and Deane,Basingstoke and Deane (District),E07000084,2.8
Bassetlaw,Bassetlaw (District),E07000171,1.85
Bath and North East Somerset,Bath and North East Somerset (Unitary),E06000022,5.68
Bedford Borough,Bedford Borough (Unitary),E06000055,3.67
Bexley,Bexley (London borough),E09000004,41.15
Birmingham,Birmingham (Metropolitan borough),E08000025,42.59
Blaby,Blaby (District),E07000129,7.81
Blackburn with Darwen,Blackburn with Darwen (Unitary),E06000008,10.95
Blackpool,Blackpool (Unitary),E06000009,39.68
Bolsover,Bolsover (District),E07000033,5.07
Bolton,Bolton (Metropolitan borough),E08000001,20.62
Boston,Boston (District),E07000136,1.95
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)",E06000058,24.49
Bracknell Forest,Bracknell Forest (Unitary),E06000036,11.35
Bradford,Bradford (Metropolitan borough),E08000032,14.8
Braintree,Braintree (District),E07000067,2.5
Breckland,Breckland (District),E07000143,1.08
Brent,Brent (London borough),E09000005,75.8
Brentwood,Brentwood (District),E07000068,5.04
Brighton and Hove,Brighton and Hove (Unitary),E06000043,35.22
Bristol,Bristol (Unitary),E06000023,42.48
Broadland,Broadland (District),E07000144,2.39
Bromley,Bromley (London borough),E09000006,22.16
Bromsgrove,Bromsgrove (District),E07000234,4.64
Broxbourne,Broxbourne (District),E07000095,18.97
Broxtowe,Broxtowe (District),E07000172,14.31
Buckinghamshire,Buckinghamshire (Unitary),E06000060,3.5
Burnley,Burnley (District),E07000117,8.07
Bury,Bury (Metropolitan borough),E08000002,19.17
Calderdale,Calderdale (Metropolitan borough),E08000033,5.81
Cambridge,Cambridge (District),E07000008,30.73
Cambridgeshire,Cambridgeshire (County),E10000003,2.16
Camden,Camden (London borough),E09000007,128.34
Cannock Chase,Cannock Chase (District),E07000192,12.87
Canterbury,Canterbury (District),E07000106,5.4
Carlisle,Carlisle (District),E07000028,1.05
Castle Point,Castle Point (District),E07000069,20.26
Central Bedfordshire,Central Bedfordshire (Unitary),E06000056,4.11
Charnwood,Charnwood (District),E07000130,6.75
Chelmsford,Chelmsford (District),E07000070,5.3
Cheltenham,Cheltenham (District),E07000078,24.9
Cherwell,Cherwell (District),E07000177,2.58
Cheshire East,Cheshire East (Unitary),E06000049,3.32
Cheshire West and Chester,Cheshire West and Chester (Unitary),E06000050,3.74
Chesterfield,Chesterfield (District),E07000034,15.89
Chichester,Chichester (District),E07000225,1.55
Chorley,Chorley (District),E07000118,5.86
City of London,City of London (London borough),E09000001,37.85
Colchester,Colchester (District),E07000071,6.01
Copeland,Copeland (District),E07000029,0.93
Cornwall,Cornwall (Unitary),E06000052,1.62
Cotswold,Cotswold (District),E07000079,0.78
Coventry,Coventry (Metropolitan borough),E08000026,38.46
Craven,Craven (District),E07000163,0.49
Crawley,Crawley (District),E07000226,25.01
Croydon,Croydon (London borough),E09000008,44.93
Cumbria,Cumbria (County),E10000006,0.74
Dacorum,Dacorum (District),E07000096,7.32
Darlington,Darlington (Unitary),E06000005,5.44
Dartford,Dartford (District),E07000107,15.68
Derby,Derby (Unitary),E06000015,32.91
Derbyshire,Derbyshire (County),E10000007,3.17
Derbyshire Dales,Derbyshire Dales (District),E07000035,0.91
Devon,Devon (County),E10000008,1.24
Doncaster,Doncaster (Metropolitan borough),E08000017,5.51
Dorset,Dorset (Unitary),E06000059,1.52
Dover,Dover (District),E07000108,3.76
Dudley,Dudley (Metropolitan borough),E08000027,32.91
Durham,Durham (Unitary),E06000047,2.4
Ealing,Ealing (London borough),E09000009,61.28
East Cambridgeshire,East Cambridgeshire (District),E07000009,1.38
East Devon,East Devon (District),E07000040,1.82
East Hampshire,East Hampshire (District),E07000085,2.41
East Hertfordshire,East Hertfordshire (District),E07000242,3.19
East Lindsey,East Lindsey (District),E07000137,0.8
East Riding of Yorkshire,East Riding of Yorkshire (Unitary),E06000011,1.43
East Staffordshire,East Staffordshire (District),E07000193,3.12
East Suffolk,East Suffolk (District),E07000244,1.99
East Sussex,East Sussex (County),E10000011,3.27
Eastbourne,Eastbourne (District),E07000061,23.4
Eastleigh,Eastleigh (District),E07000086,17.01
Eden,Eden (District),E07000030,0.25
Elmbridge,Elmbridge (District),E07000207,14.44
Enfield,Enfield (London borough),E09000010,41.27
Epping Forest,Epping Forest (District),E07000072,3.9
Epsom and Ewell,Epsom and Ewell (District),E07000208,23.77
Erewash,Erewash (District),E07000036,10.52
Essex,Essex (County),E10000012,4.33
Exeter,Exeter (District),E07000041,28.35
Fareham,Fareham (District),E07000087,15.67
Fenland,Fenland (District),E07000010,1.87
