"Reported road collisions by contributory factor and local authority, Great Britain, 10 years up to 2021",,,,,,
"This worksheet contains two tables, separated by a blank column. Some cells refer to notes which can be found on the notes worksheet.",,,,,,
Some cells in the 'Code_Local authority' field are labelled with 'no data' because they do not have an ONS identifier code. ,,,,,,
"Filters are active in row 5 and may hide some data. To turn off all filters select the ‘Data’ ribbon then ‘Filters’ button or use [Ctrl, Shift, L]’. ",,,,,,
Section,Contributory factor reported in accident [note 1],Region (ONS code),Region (name),Local authority (ONS code),Local authority (name),2020
Road environment contributed,Road environment contributed,E12000001,North East,E06000047,County Durham,9
Road environment contributed,Poor or defective road surface ,E12000001,North East,E06000047,County Durham,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000001,North East,E06000047,County Durham,1
Road environment contributed,Slippery road (due to weather),E12000001,North East,E06000047,County Durham,5
Road environment contributed,Inadequate or masked signs or road markings,E12000001,North East,E06000047,County Durham,0
Road environment contributed,Defective traffic signals,E12000001,North East,E06000047,County Durham,1
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000001,North East,E06000047,County Durham,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000001,North East,E06000047,County Durham,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000001,North East,E06000047,County Durham,2
Road environment contributed,Animal or object in carriageway ,E12000001,North East,E06000047,County Durham,0
Road environment contributed,Slippery inspection cover or road marking,E12000001,North East,E06000047,County Durham,0
Vehicle defects,Vehicle defects,E12000001,North East,E06000047,County Durham,2
Vehicle defects,"Tyres illegal, defective or under inflated",E12000001,North East,E06000047,County Durham,2
Vehicle defects,Defective lights or indicators,E12000001,North East,E06000047,County Durham,0
Vehicle defects,Defective brakes,E12000001,North East,E06000047,County Durham,0
Vehicle defects,Defective steering or suspension,E12000001,North East,E06000047,County Durham,0
Vehicle defects,Defective or missing mirrors,E12000001,North East,E06000047,County Durham,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000001,North East,E06000047,County Durham,0
Injudicious decision,Injudicious action,E12000001,North East,E06000047,County Durham,22
Injudicious decision,Disobeyed automatic traffic signal,E12000001,North East,E06000047,County Durham,0
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000001,North East,E06000047,County Durham,6
Injudicious decision,Disobeyed double white lines,E12000001,North East,E06000047,County Durham,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000001,North East,E06000047,County Durham,0
Injudicious decision,Illegal turn or direction of travel,E12000001,North East,E06000047,County Durham,1
Injudicious decision,Exceeding speed limit,E12000001,North East,E06000047,County Durham,2
Injudicious decision,Travelling too fast for conditions,E12000001,North East,E06000047,County Durham,12
Injudicious decision,Following too close,E12000001,North East,E06000047,County Durham,4
Injudicious decision,Vehicle travelling along pavement,E12000001,North East,E06000047,County Durham,0
Injudicious decision,Cyclist entering road from pavement,E12000001,North East,E06000047,County Durham,1
Driver or rider error or reaction,Driver/Rider error or reaction,E12000001,North East,E06000047,County Durham,54
Driver or rider error or reaction,Junction overshoot,E12000001,North East,E06000047,County Durham,2
Driver or rider error or reaction,Junction restart (moving off at junction),E12000001,North East,E06000047,County Durham,0
Driver or rider error or reaction,Poor turn or manoeuvre,E12000001,North East,E06000047,County Durham,15
Driver or rider error or reaction,Failed to signal or misleading signal,E12000001,North East,E06000047,County Durham,1
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000001,North East,E06000047,County Durham,35
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000001,North East,E06000047,County Durham,5
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000001,North East,E06000047,County Durham,0
Driver or rider error or reaction,Sudden braking,E12000001,North East,E06000047,County Durham,1
Driver or rider error or reaction,Swerved,E12000001,North East,E06000047,County Durham,0
Driver or rider error or reaction,Loss of control,E12000001,North East,E06000047,County Durham,7
Impairment or distraction,Impairment or distraction,E12000001,North East,E06000047,County Durham,22
Impairment or distraction,Driver/Rider impaired by alcohol,E12000001,North East,E06000047,County Durham,8
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000001,North East,E06000047,County Durham,6
Impairment or distraction,Fatigue,E12000001,North East,E06000047,County Durham,0
Impairment or distraction,"Uncorrected, defective eyesight",E12000001,North East,E06000047,County Durham,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000001,North East,E06000047,County Durham,4
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000001,North East,E06000047,County Durham,1
