Month (text),GMT,London Mean Roadside Nitric Oxide (ug/m3),London Mean Roadside Nitrogen Dioxide (ug/m3),London Mean Roadside Oxides of Nitrogen (ug/m3),London Mean Roadside Ozone (ug/m3),London Mean Roadside PM10 Particulate (ug/m3),London Mean Roadside PM2.5 Particulate (ug/m3),London Mean Roadside Sulphur Dioxide (ug/m3),London Mean Background Nitric Oxide (ug/m3),London Mean Background Nitrogen Dioxide (ug/m3),London Mean Background Oxides of Nitrogen (ug/m3),London Mean Background Ozone (ug/m3),London Mean Background PM10 Particulate (ug/m3),London Mean Background PM2.5 Particulate (ug/m3),London Mean Background Sulphur Dioxide (ug/m3)
2008/1/1,00:00,,42.25806452,,32.64516129,22.96774194,15.51612903,3.35483871,,34.19354839,,41.77419355,19.16129032,,3.129032258
2008/1/1,01:00,,33.77419355,,35.29032258,21.16129032,13.5483871,2.612903226,,29,,45.29032258,18.90322581,,3.064516129
2008/1/1,02:00,,28.83870968,,43.16129032,19.58064516,12.67741935,2.129032258,,25.35483871,,46.64516129,17.67741935,,3.290322581
2008/1/1,03:00,,27.32258065,,42.38709677,18.32258065,11.87096774,1.967741935,,23.38709677,,46.64516129,16.38709677,,3.322580645
2008/1/1,04:00,,29.38709677,,40.12903226,18.09677419,11.96774194,2.193548387,,24.19354839,,45.22580645,16,,2.774193548
2008/1/1,05:00,,38.32258065,,33.80645161,18.67741935,12.22580645,2.193548387,,29.41935484,,40.29032258,15.5483871,,2.419354839
2008/1/1,06:00,,53.70967742,,26.74193548,21.51612903,14.5483871,3.419354839,,39.64516129,,34.06451613,16.70967742,,2.774193548
2008/1/1,07:00,,66.16129032,,22.35483871,23.35483871,14.96774194,4.161290323,,49.25806452,,29.32258065,17.12903226,,3
2008/1/1,08:00,,69.48387097,,21.51612903,25.25806452,14.87096774,4.741935484,,52.87096774,,28.09677419,17.67741935,,3.451612903
2008/1/1,09:00,,67.06451613,,23.74193548,26.64516129,14.80645161,5.225806452,,50.4516129,,31.41935484,19.12903226,,3.838709677
2008/1/1,10:00,,62.25806452,,28,26.74193548,14.61290323,5.290322581,,45.61290323,,36.09677419,18.4516129,,3.903225806
2008/1/1,11:00,,60.4516129,,29.58064516,28.06451613,14.80645161,5,,43.09677419,,37.93548387,19.16129032,,4.225806452
2008/1/1,12:00,,59.32258065,,29.96774194,28,14.58064516,5.032258065,,41.38709677,,39.90322581,19.12903226,,3.935483871
2008/1/1,13:00,,59.67741935,,30.58064516,27.70967742,13.83870968,5.096774194,,40,,41.51612903,18.48387097,,3.580645161
