Personal well-being estimates by London borough (2021/22),,,,,,,,,,,,,
,,,,,,,,,,,,,
Geography code,Geography,Measures of wellbeing,Estimate,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
E92000001,England,Life Satisfaction,Average (mean),7.44 ,7.50 ,7.60 ,7.64 ,7.67 ,7.68 ,7.71 ,7.65 ,7.38 ,7.55 
E12000007,London,Life Satisfaction,Average (mean),7.25 ,7.36 ,7.49 ,7.50 ,7.54 ,7.52 ,7.58 ,7.54 ,7.27 ,7.46 
E09000007,Camden,Life Satisfaction,Average (mean),7.24 ,7.11 ,7.25 ,7.35 ,7.56 ,7.31 ,7.48 ,7.26 ,6.77 ,7.35 
E09000001,City of London,Life Satisfaction,Average (mean),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000012,Hackney,Life Satisfaction,Average (mean),7.07 ,7.05 ,7.43 ,7.31 ,7.25 ,7.34 ,7.50 ,7.35 ,6.93 ,7.32 
E09000013,Hammersmith and Fulham,Life Satisfaction,Average (mean),7.21 ,7.40 ,7.56 ,7.68 ,7.47 ,7.34 ,7.72 ,7.62 ,7.49 ,7.30 
E09000014,Haringey,Life Satisfaction,Average (mean),7.17 ,7.28 ,7.38 ,7.26 ,7.56 ,7.59 ,7.35 ,7.68 ,7.17 ,7.32 
E09000019,Islington,Life Satisfaction,Average (mean),7.14 ,7.35 ,7.36 ,7.29 ,7.38 ,7.38 ,7.51 ,7.37 ,6.99 ,7.30 
E09000020,Kensington and Chelsea,Life Satisfaction,Average (mean),7.70 ,7.67 ,7.65 ,7.78 ,7.52 ,7.31 ,7.23 ,7.35 ,7.31 ,7.18 
E09000022,Lambeth,Life Satisfaction,Average (mean),7.08 ,7.01 ,7.42 ,7.41 ,7.35 ,7.41 ,7.22 ,7.44 ,7.29 ,7.41 
E09000023,Lewisham,Life Satisfaction,Average (mean),7.23 ,7.34 ,7.33 ,7.14 ,7.18 ,7.30 ,7.49 ,7.45 ,7.09 ,7.50 
E09000025,Newham,Life Satisfaction,Average (mean),7.23 ,7.24 ,7.54 ,7.73 ,7.61 ,7.46 ,7.54 ,7.49 ,7.50 ,7.70 
E09000028,Southwark,Life Satisfaction,Average (mean),7.21 ,7.58 ,7.44 ,7.49 ,7.37 ,7.47 ,7.34 ,7.51 ,7.17 ,7.32 
E09000030,Tower Hamlets,Life Satisfaction,Average (mean),7.32 ,7.50 ,7.54 ,7.48 ,7.74 ,7.51 ,7.82 ,7.59 ,7.13 ,7.62 
E09000032,Wandsworth,Life Satisfaction,Average (mean),7.26 ,7.43 ,7.47 ,7.53 ,7.64 ,7.64 ,7.65 ,7.45 ,7.35 ,7.55 
E09000033,Westminster,Life Satisfaction,Average (mean),7.01 ,7.53 ,7.45 ,7.60 ,7.68 ,7.57 ,7.66 ,7.37 ,7.21 ,7.38 
E09000003,Barnet,Life Satisfaction,Average (mean),7.28 ,7.40 ,7.54 ,7.53 ,7.47 ,7.63 ,7.55 ,7.58 ,7.30 ,7.36 
E09000004,Bexley,Life Satisfaction,Average (mean),7.42 ,7.28 ,7.52 ,7.41 ,7.45 ,7.42 ,7.54 ,7.73 ,7.53 ,7.43 
